id	Project	Year	Date.num	Province	Region	Source	Sample type	CGF	eCGF	eCGF_100	eCGF95	MLST-ST	MLST-CC
CA10SH18588043701	CIPARS	2018	43364	AB	West	Chicken	Fecal	932.003	39	0932.003.002	932.003	45	ST-45 complex
CA10SH18588047301	CIPARS	2018	43378	BC	West	Chicken	Fecal	932.003	40	0932.003.002	932.003	45	ST-45 complex
CA10SH18599005601	CIPARS	2018	43159	ON	Central	Turkey	Fecal	932.003	40	0932.003.002	932.003	45	ST-45 complex
CA10SH18599002301	CIPARS	2018	43130	BC	West	Turkey	Fecal	932.003	40	0932.003.002	932.003	45	ST-45 complex
18_7842	FNC	2018	43356	AB	West	Human	Stool	932.003	40	0932.003.002	932.003	45	ST-45 complex
13_078767_0014	MBS	2013	41558	ON	Central	Chicken	Thigh	926.002	39	0926.002.012	926.002	45	ST-45 complex
18_4716	FNC	2018	43277	AB	West	Human	Stool	933.004	40	0933.004.002	933.004	679	ST-45 complex
18_3513	FNC	2018	43235	AB	West	Human	Stool	933.004	40	0933.004.002	933.004	679	ST-45 complex
08_0083	FNC	2007	39251	ON	Central	Chicken	Undefined	933.004	39	0933.004.002	933.004	679	ST-45 complex
08_0086	FNC	2007	39258	ON	Central	Chicken	Undefined	933.004	39	0933.004.002	933.004	679	ST-45 complex
13_021044_0020	MBS	2013	41347	ON	Central	Chicken	Breast	933.004	40	0933.004.002	933.004	679	ST-45 complex
13_086403_0015	MBS	2013	41585	QC	East	Chicken	Breast	933.004	40	0933.004.002	933.004	679	ST-45 complex
13_096694_0011	MBS	2013	41611	ON	Central	Chicken	Breast	933.004	40	0933.004.002	933.004	679	ST-45 complex
13_098640_0019	MBS	2013	41618	ON	Central	Chicken	Breast	933.004	40	0933.004.002	933.004	679	ST-45 complex
13_014767_0027	MBS	2013	41326	QC	East	Chicken	Fecal	933.004	40	0933.004.002	933.004	-	-
13_014793_0036	MBS	2013	41326	QC	East	Chicken	Carcass	933.004	40	0933.004.002	933.004	-	-
12_104673_0025	MBS	2012	41247	BC	West	Chicken	Breast	933.004	40	0933.004.002	933.004	679	ST-45 complex
13_004224_0011	MBS	2013	41289	QC	East	Chicken	Breast	893.001	40	0893.001.002	893.001	45	ST-45 complex
13_091626_0008	MBS	2013	41596	ON	Central	Chicken	Fecal	893.001	40	0893.001.002	893.001	45	ST-45 complex
12_101719_0007	MBS	2012	41242	QC	East	Chicken	Thigh	893.001	39	0893.001.002	893.001	45	ST-45 complex
17_5492	FNC	2017	42956	ON	Central	Human	Stool	893.001	40	0893.001.002	893.001	45	ST-45 complex
08_4471	FNC	2008	39632	ON	Central	Human	Stool	893.001	40	0893.001.002	893.001	45	ST-45 complex
13_024138_0012	MBS	2013	41358	QC	East	Chicken	Breast	893.001	39	0893.001.002	893.001	45	ST-45 complex
13_008712_0017	MBS	2013	Undefined	BC	West	Chicken	Breast	893.001	40	0893.001.002	893.001	45	ST-45 complex
13_088155_0032	MBS	2013	41600	BC	West	Chicken	Fecal	893.001	40	0893.001.002	893.001	45	ST-45 complex
13_088603_0022	MBS	2013	41591	Undefined	Atlantic	Chicken	Breast	893.001	40	0893.001.002	893.001	45	ST-45 complex
06_2863	FNC	2005	38614	ON	Central	Chicken	Undefined	893.001	40	0893.001.002	893.001	1228	ST-45 complex
13_009111_0027	MBS	2013	41305	ON	Central	Chicken	Fecal	893.001	40	0893.001.002	893.001	45	ST-45 complex
13_027517_0010	MBS	2013	41373	ON	Central	Chicken	Thigh	893.001	40	0893.001.002	893.001	45	ST-45 complex
12_099807_0028	MBS	2012	41236	ON	Central	Chicken	Thigh	893.001	40	0893.001.002	893.001	45	ST-45 complex
CA10SH18588044001	CIPARS	2018	43364	AB	West	Chicken	Fecal	893.001	40	0893.001.002	893.001	45	ST-45 complex
13_072399_0008	MBS	2013	41529	QC	East	Chicken	Carcass	893.001	40	0893.001.002	893.001	45	ST-45 complex
12_106675_0015	MBS	2012	41253	QC	East	Chicken	Fecal	923.002	39	0923.002.001	923.002	45	ST-45 complex
12_106723_0011	MBS	2012	41253	QC	East	Chicken	Carcass	923.002	40	0923.002.001	923.002	45	ST-45 complex
12_109628_0015	MBS	2012	41264	QC	East	Chicken	Carcass	923.002	39	0923.002.001	923.002	45	ST-45 complex
12_109564_0029	MBS	2012	41262	QC	East	Chicken	Fecal	923.002	40	0923.002.001	923.002	45	ST-45 complex
13_015992_0006	MBS	2013	41359	ON	Central	Chicken	Breast	923.002	39	0923.002.001	923.002	45	ST-45 complex
12_100460_0009	MBS	2012	41232	ON	Central	Chicken	Thigh	923.002	39	0923.002.001	923.002	45	ST-45 complex
13_011124_0014	MBS	2013	41312	ON	Central	Chicken	Thigh	923.002	38	0923.002.001	923.002	45	ST-45 complex
17_4861	FNC	2017	42930	ON	Central	Human	Stool	923.002	39	0923.002.001	923.002	45	ST-45 complex
17_4805	FNC	2017	42930	ON	Central	Human	Stool	923.002	40	0923.002.001	923.002	45	ST-45 complex
07_3854	FNC	2007	39283	ON	Central	Human	Stool	923.002	39	0923.002.001	923.002	45	ST-45 complex
06_2871	FNC	2005	38649	ON	Central	Chicken	Breast	923.002	39	0923.002.001	923.002	45	ST-45 complex
08_5286	FNC	2008	39657	ON	Central	Human	Undefined	923.002	40	0923.002.001	923.002	45	ST-45 complex
08_2640	FNC	2008	39563	ON	Central	Human	Undefined	923.002	39	0923.002.001	923.002	45	ST-45 complex
18_8249	FNC	2018	43368	AB	West	Human	Stool	923.002	39	0923.002.001	923.002	45	ST-45 complex
06_2872	FNC	2005	38649	ON	Central	Chicken	Undefined	923.002	40	0923.002.001	923.002	45	ST-45 complex
13_013953_0049	MBS	2013	41324	BC	West	Chicken	Thigh	923.001	39	0923.001.002	923.001	45	ST-45 complex
12_098829_0019	MBS	2012	41234	SK	West	Chicken	Breast	923.002	38	0923.002.001	923.002	45	ST-45 complex
13_030274_0007	MBS	2013	41412	BC	West	Chicken	Thigh	923.001	40	0923.001.002	923.001	45	ST-45 complex
13_060285_0017	MBS	2013	41486	BC	West	Chicken	Carcass	923.001	40	0923.001.002	923.001	45	ST-45 complex
13_077690_0004	MBS	2013	41548	QC	East	Chicken	Breast	923.001	39	0923.001.002	923.001	45	ST-45 complex
13_043994_0023	MBS	2013	41431	BC	West	Chicken	Fecal	923.001	40	0923.001.002	923.001	45	ST-45 complex
13_041969_0010	MBS	2013	41424	BC	West	Chicken	Fecal	923.001	39	0923.001.002	923.001	45	ST-45 complex
17_1172	FNC	2017	42789	ON	Central	Human	Stool	923.001	39	0923.001.002	923.001	45	ST-45 complex
12_101671_0011	MBS	2012	41247	Undefined	Atlantic	Chicken	Carcass	923.001	39	0923.001.002	923.001	45	ST-45 complex
13_005830_0014	MBS	2013	41326	Undefined	Atlantic	Chicken	Thigh	Undefined	37	Undefined	Undefined	45	ST-45 complex
13_034762_0006	MBS	2013	41401	Undefined	Atlantic	Chicken	Fecal	923.001	40	0923.001.002	923.001	45	ST-45 complex
13_034764_0008	MBS	2013	41401	NF	Atlantic	Chicken	Breast	923.001	38	0923.001.002	923.001	45	ST-45 complex
13_045720_0024	MBS	2013	41437	NF	Atlantic	Chicken	Breast	923.001	40	0923.001.002	923.001	45	ST-45 complex
13_034764_0006	MBS	2013	41408	Undefined	Atlantic	Chicken	Thigh	923.001	38	0923.001.002	923.001	45	ST-45 complex
13_060215_0036	MBS	2013	41485	Undefined	Atlantic	Chicken	Breast	923.001	38	0923.001.002	923.001	45	ST-45 complex
19_05086	FNC	2019	43635	AB	West	Human	Stool	932.003	40	0932.003.002	932.003	45	ST-45 complex
18_6031	FNC	2018	43306	AB	West	Human	Stool	932.003	40	0932.003.002	932.003	45	ST-45 complex
18_3939	FNC	2018	43250	AB	West	Human	Stool	932.003	40	0932.003.002	932.003	45	ST-45 complex
18_8784	FNC	2018	43386	AB	West	Human	Stool	932.003	40	0932.003.002	932.003	45	ST-45 complex
CA10SH18588028701	CIPARS	2018	43251	AB	West	Chicken	Fecal	932.003	40	0932.003.002	932.003	45	ST-45 complex
CA10SH18588027501	CIPARS	2018	43249	AB	West	Chicken	Fecal	932.003	40	0932.003.002	932.003	45	ST-45 complex
18_10403	FNC	2018	43455	ON	Central	Human	Stool	904.002	39	0904.002.001	904.002	45	ST-45 complex
13_086403_0016	MBS	2013	41576	ON	Central	Chicken	Breast	882.005	40	0882.005.017	882.005	267	ST-283 complex
13_086668_0017	MBS	2013	41586	QC	East	Chicken	Breast	882.005	40	0882.005.017	882.005	267	ST-283 complex
12_101409_0010	MBS	2012	41242	ON	Central	Chicken	Carcass	882.005	40	0882.005.017	882.005	267	ST-283 complex
13_088155_0029	MBS	2013	41590	Undefined	Atlantic	Chicken	Fecal	882.007	40	0882.007.001	882.007	267	ST-283 complex
13_087116_0015	MBS	2013	41586	BC	West	Chicken	Carcass	882.005	40	0882.005.017	882.005	267	ST-283 complex
13_002964_0018	MBS	2013	41284	QC	East	Chicken	Fecal	882.005	40	0882.005.017	882.005	267	ST-283 complex
12_101670_0014	MBS	2012	41247	NB	Atlantic	Chicken	Thigh	882.005	40	0882.005.017	882.005	267	ST-283 complex
12_101670_0013	MBS	2012	41247	ON	Central	Chicken	Breast	882.005	40	0882.005.017	882.005	267	ST-283 complex
13_059047_0020	MBS	2013	41480	QC	East	Chicken	Carcass	882.007	40	0882.007.001	882.007	267	ST-283 complex
13_075588_0004	MBS	2013	41541	QC	East	Chicken	Fecal	882.005	40	0882.005.017	882.005	267	ST-283 complex
13_076155_0008	MBS	2013	41542	QC	East	Chicken	Fecal	882.005	40	0882.005.017	882.005	267	ST-283 complex
13_076204_0025	MBS	2013	41555	QC	East	Chicken	Breast	882.005	40	0882.005.017	882.005	267	ST-283 complex
13_076612_0019	MBS	2013	41542	QC	East	Chicken	Breast	882.005	40	0882.005.017	882.005	267	ST-283 complex
13_014647_0002	MBS	2013	41326	ON	Central	Chicken	Thigh	882.005	40	0882.005.017	882.005	267	ST-283 complex
13_017617_0020	MBS	2013	41337	ON	Central	Chicken	Thigh	882.005	40	0882.005.017	882.005	267	ST-283 complex
13_080523_0020	MBS	2013	41556	ON	Central	Chicken	Fecal	882.007	40	0882.007.001	882.007	267	ST-283 complex
13_014309_0016	MBS	2013	41325	ON	Central	Chicken	Breast	882.005	40	0882.005.017	882.005	267	ST-283 complex
13_005830_0015	MBS	2013	41326	QC	East	Chicken	Breast	882.007	40	0882.007.001	882.007	267	ST-283 complex
12_097053_0030	MBS	2012	41227	QC	East	Chicken	Carcass	882.005	40	0882.005.017	882.005	267	ST-283 complex
12_097485_0026	MBS	2012	41229	Undefined	Central	Chicken	Carcass	882.005	40	0882.005.017	882.005	267	ST-283 complex
13_012276_0024	MBS	2013	41317	QC	East	Chicken	Carcass	882.005	40	0882.005.017	882.005	267	ST-283 complex
13_012696_0027	MBS	2013	41318	QC	East	Chicken	Breast	882.005	40	0882.005.017	882.005	267	ST-283 complex
13_012276_0021	MBS	2013	41317	QC	East	Chicken	Breast	882.005	40	0882.005.017	882.005	267	ST-283 complex
13_012696_0023	MBS	2013	41318	QC	East	Chicken	Thigh	882.005	40	0882.005.017	882.005	267	ST-283 complex
13_020632_0021	MBS	2013	41346	Undefined	Central	Chicken	Fecal	882.005	40	0882.005.017	882.005	267	ST-283 complex
13_053901_0015	MBS	2013	41464	QC	East	Chicken	Breast	882.005	40	0882.005.017	882.005	267	ST-283 complex
13_060101_0024	MBS	2013	41516	BC	West	Chicken	Fecal	882.005	40	0882.005.017	882.005	267	ST-283 complex
18_4494	FNC	2018	43270	AB	West	Human	Stool	882.005	40	0882.005.017	882.005	267	ST-283 complex
13_034770_0006	MBS	2013	41401	BC	West	Chicken	Carcass	882.007	40	0882.007.001	882.007	267	ST-283 complex
13_088171_0030	MBS	2013	41583	BC	West	Chicken	Thigh	882.005	40	0882.005.017	882.005	267	ST-283 complex
13_051212_0010	MBS	2013	41458	BC	West	Chicken	Carcass	882.005	40	0882.005.017	882.005	283	ST-283 complex
13_075572_0017	MBS	2013	41541	BC	West	Chicken	Fecal	882.005	40	0882.005.017	882.005	283	ST-283 complex
13_075670_0005	MBS	2013	41541	BC	West	Chicken	Fecal	882.005	40	0882.005.017	882.005	283	ST-283 complex
13_076204_0027	MBS	2013	41558	BC	West	Chicken	Breast	882.005	40	0882.005.017	882.005	283	ST-283 complex
12_101719_0008	MBS	2012	41247	QC	East	Chicken	Thigh	882.005	40	0882.005.017	882.005	267	ST-283 complex
13_016974_0015	MBS	2013	41361	QC	East	Chicken	Breast	882.005	40	0882.005.017	882.005	267	ST-283 complex
13_009111_0031	MBS	2013	Undefined	QC	East	Chicken	Fecal	882.005	40	0882.005.017	882.005	-	-
13_022169_0014	MBS	2013	41353	QC	East	Chicken	Carcass	882.005	40	0882.005.017	882.005	-	-
13_022132_0022	MBS	2013	41351	QC	East	Chicken	Fecal	882.005	40	0882.005.017	882.005	-	-
13_090204_0019	MBS	2013	41589	BC	West	Chicken	Fecal	882.005	40	0882.005.017	882.005	267	ST-283 complex
13_074064_0029	MBS	2013	41535	BC	West	Chicken	Fecal	882.005	40	0882.005.017	882.005	267	ST-283 complex
07_4269	FNC	2007	39302	ON	Central	Human	Stool	882.005	40	0882.005.017	882.005	267	ST-283 complex
06_6988	FNC	2006	39022	ON	Central	Human	Undefined	960.004	39	0960.004.001	960.004	583	ST-45 complex
13_060680_0018	MBS	2013	41516	QC	East	Chicken	Breast	960.007	40	0960.007.006	960.007	45	ST-45 complex
13_077011_0017	MBS	2013	41544	QC	East	Chicken	Carcass	960.007	40	0960.007.006	960.007	45	ST-45 complex
